                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0576,                 2.2733,                  1.082,                0.56637,                0.37976,                0.41636,                0.30455,                 0.9352,                 2.3118,                0.96146,             0.00046699,             0.00046699,             0.00046699
                      2,                0.90861,                 1.3271,                0.99544,                0.53546,                0.63236,                0.54266,                0.41766,                0.87564,                 1.4518,                0.97264,             0.00093399,             0.00093399,             0.00093399
                      3,                0.89656,                 1.1993,                0.98726,                0.62435,                0.66782,                0.64374,                0.49366,                0.85868,                  1.178,                0.96756,              0.0013916,              0.0013916,              0.0013916
                      4,                0.87481,                 1.0725,                0.97274,                0.65675,                0.65433,                0.65975,                0.51612,                0.85254,                 1.1766,                 0.9559,              0.0013866,              0.0013866,              0.0013866
                      5,                0.85406,                0.98728,                0.96609,                0.73753,                0.71541,                0.76085,                0.60416,                0.77384,                0.98541,                0.94095,              0.0013866,              0.0013866,              0.0013866
                      6,                0.81963,                0.98275,                0.95857,                0.71911,                0.70118,                0.73727,                0.58708,                0.74603,                 1.0384,                0.92689,              0.0013724,              0.0013724,              0.0013724
                      7,                0.79891,                0.92259,                0.94934,                0.72888,                0.71338,                0.73691,                0.59742,                0.75771,                0.95507,                0.93101,              0.0013583,              0.0013583,              0.0013583
                      8,                0.79891,                  0.891,                0.95608,                0.75542,                0.74579,                0.79102,                0.62701,                0.77013,                0.90117,                0.93488,              0.0013441,              0.0013441,              0.0013441
                      9,                0.79903,                0.85697,                 0.9432,                  0.767,                0.73882,                0.78994,                0.64329,                0.72081,                0.81212,                0.91929,                0.00133,                0.00133,                0.00133
                     10,                0.77903,                0.84179,                0.94298,                0.70503,                0.71452,                0.73762,                0.58343,                0.73234,                0.95218,                0.91816,              0.0013158,              0.0013158,              0.0013158
                     11,                0.78825,                0.81519,                0.94296,                0.79236,                0.70833,                0.78782,                0.63778,                0.70851,                0.80247,                0.90916,              0.0013017,              0.0013017,              0.0013017
                     12,                0.76104,                0.79218,                0.94033,                 0.7743,                 0.7345,                0.79046,                0.63948,                0.71734,                0.81542,                0.91972,              0.0012875,              0.0012875,              0.0012875
                     13,                0.74762,                0.78298,                  0.942,                0.75566,                0.72437,                0.77982,                0.61934,                0.72579,                0.91472,                0.91994,              0.0012734,              0.0012734,              0.0012734
                     14,                0.74615,                0.76148,                0.92944,                0.75488,                0.74602,                0.79713,                0.64343,                0.70694,                0.81446,                0.91587,              0.0012592,              0.0012592,              0.0012592
                     15,                0.74284,                0.75519,                0.93867,                0.77918,                0.73912,                0.81432,                0.66245,                0.70856,                0.79179,                0.91459,              0.0012451,              0.0012451,              0.0012451
                     16,                0.72879,                0.75723,                0.93293,                0.75844,                0.74416,                 0.8119,                0.65944,                0.72327,                0.80152,                0.92735,              0.0012309,              0.0012309,              0.0012309
                     17,                0.72191,                0.72225,                0.92656,                 0.7991,                0.72719,                 0.8185,                0.65872,                0.70572,                0.77877,                0.91639,              0.0012168,              0.0012168,              0.0012168
